fecha,producto,cantidad,precio_unitario,region,total,ticket_size,mes,dia_semana
2024-01-01,C,18,93.67,Oeste,1686.06,Muy Alto,1,Monday
2024-01-02,D,26,82.73,Norte,2150.98,Muy Alto,1,Tuesday
2024-01-03,A,44,67.01,Norte,2948.44,Muy Alto,1,Wednesday
2024-01-04,C,34,88.43,Oeste,3006.6200000000003,Muy Alto,1,Thursday
2024-01-05,C,10,82.33,Norte,823.3,Alto,1,Friday
2024-01-06,D,36,26.79,Oeste,964.4399999999999,Alto,1,Saturday
2024-01-07,A,14,90.33,Norte,1264.62,Muy Alto,1,Sunday
2024-01-08,A,31,58.54,Sur,1814.74,Muy Alto,1,Monday
2024-01-09,C,48,82.67,Norte,3968.16,Muy Alto,1,Tuesday
2024-01-10,B,15,90.65,Oeste,1359.75,Muy Alto,1,Wednesday
2024-01-11,C,8,38.62,Oeste,308.96,Medio,1,Thursday
2024-01-12,C,14,19.9,Oeste,278.59999999999997,Medio,1,Friday
2024-01-13,C,23,30.51,Oeste,701.73,Alto,1,Saturday
2024-01-14,C,40,48.44,Oeste,1937.6,Muy Alto,1,Sunday
2024-01-15,D,21,83.62,Este,1756.02,Muy Alto,1,Monday
2024-01-16,A,16,87.47,Este,1399.52,Muy Alto,1,Tuesday
2024-01-17,D,45,10.63,Norte,478.35,Medio,1,Wednesday
2024-01-18,D,18,55.97,Oeste,1007.46,Muy Alto,1,Thursday
2024-01-19,D,47,47.57,Norte,2235.79,Muy Alto,1,Friday
2024-01-20,C,24,29.99,Oeste,719.76,Alto,1,Saturday
2024-01-21,B,26,20.79,Oeste,540.54,Alto,1,Sunday
2024-01-22,A,25,40.39,Este,1009.75,Muy Alto,1,Monday
2024-01-23,B,45,94.86,Este,4268.7,Muy Alto,1,Tuesday
2024-01-24,D,41,39.09,Sur,1602.69,Muy Alto,1,Wednesday
2024-01-25,D,29,56.69,Este,1644.01,Muy Alto,1,Thursday
2024-01-26,B,15,73.27,Sur,1099.05,Muy Alto,1,Friday
2024-01-27,B,45,42.73,Sur,1922.85,Muy Alto,1,Saturday
2024-01-28,B,1,97.46,Sur,97.46,Bajo,1,Sunday
2024-01-29,D,25,96.62,Sur,2415.5,Muy Alto,1,Monday
2024-01-30,D,7,32.66,Sur,228.61999999999998,Medio,1,Tuesday
2024-01-31,A,9,54.75,Norte,492.75,Medio,1,Wednesday
2024-02-01,A,24,37.08,Este,889.92,Alto,2,Thursday
2024-02-02,D,1,35.64,Sur,35.64,Bajo,2,Friday
2024-02-03,B,44,13.32,Oeste,586.08,Alto,2,Saturday
2024-02-04,B,8,64.86,Este,518.88,Alto,2,Sunday
2024-02-05,A,24,55.24,Este,1325.76,Muy Alto,2,Monday
2024-02-06,D,11,14.63,Sur,160.93,Medio,2,Tuesday
2024-02-07,A,17,35.08,Norte,596.36,Alto,2,Wednesday
2024-02-08,A,8,91.74,Sur,733.92,Alto,2,Thursday
2024-02-09,C,35,31.56,Norte,1104.6,Muy Alto,2,Friday
2024-02-10,C,35,23.04,Oeste,806.4,Alto,2,Saturday
2024-02-11,C,33,54.05,Este,1783.6499999999999,Muy Alto,2,Sunday
2024-02-12,B,5,98.71,Oeste,493.54999999999995,Medio,2,Monday
2024-02-13,D,42,31.78,Norte,1334.76,Muy Alto,2,Tuesday
2024-02-14,D,39,70.49,Norte,2749.1099999999997,Muy Alto,2,Wednesday
2024-02-15,D,41,78.55,Oeste,3220.5499999999997,Muy Alto,2,Thursday
2024-02-16,D,28,31.39,Norte,878.9200000000001,Alto,2,Friday
2024-02-17,C,7,75.54,Oeste,528.7800000000001,Alto,2,Saturday
2024-02-18,B,9,43.1,Este,387.90000000000003,Medio,2,Sunday
2024-02-19,B,8,66.91,Oeste,535.28,Alto,2,Monday
2024-02-20,C,12,67.02,Este,804.24,Alto,2,Tuesday
2024-02-21,B,34,58.22,Oeste,1979.48,Muy Alto,2,Wednesday
2024-02-22,C,33,18.13,Norte,598.29,Alto,2,Thursday
2024-02-23,D,48,85.18,Oeste,4088.6400000000003,Muy Alto,2,Friday
2024-02-24,C,23,38.87,Norte,894.01,Alto,2,Saturday
2024-02-25,D,24,26.79,Oeste,642.96,Alto,2,Sunday
2024-02-26,D,37,13.67,Oeste,505.79,Alto,2,Monday
2024-02-27,A,35,63.18,Sur,2211.3,Muy Alto,2,Tuesday
2024-02-28,C,44,70.98,Norte,3123.1200000000003,Muy Alto,2,Wednesday
2024-02-29,A,40,11.49,Sur,459.6,Medio,2,Thursday
2024-03-01,C,22,56.09,Norte,1233.98,Muy Alto,3,Friday
2024-03-02,C,27,30.38,Sur,820.26,Alto,3,Saturday
2024-03-03,A,35,68.07,Este,2382.45,Muy Alto,3,Sunday
2024-03-04,A,1,25.69,Oeste,25.69,Bajo,3,Monday
2024-03-05,C,35,72.18,Norte,2526.3,Muy Alto,3,Tuesday
2024-03-06,B,37,44.81,Norte,1657.97,Muy Alto,3,Wednesday
2024-03-07,D,47,94.31,Oeste,4432.57,Muy Alto,3,Thursday
2024-03-08,A,14,22.38,Norte,313.32,Medio,3,Friday
2024-03-09,D,3,40.7,Norte,122.10000000000001,Medio,3,Saturday
2024-03-10,B,1,20.21,Sur,20.21,Bajo,3,Sunday
2024-03-11,B,5,93.22,Norte,466.1,Medio,3,Monday
2024-03-12,B,26,88.96,Este,2312.96,Muy Alto,3,Tuesday
2024-03-13,A,14,33.21,Este,464.94,Medio,3,Wednesday
2024-03-14,B,39,69.4,Oeste,2706.6000000000004,Muy Alto,3,Thursday
2024-03-15,A,27,83.55,Norte,2255.85,Muy Alto,3,Friday
2024-03-16,B,9,59.97,Oeste,539.73,Alto,3,Saturday
2024-03-17,D,15,57.67,Este,865.0500000000001,Alto,3,Sunday
2024-03-18,D,15,31.77,Norte,476.55,Medio,3,Monday
2024-03-19,C,26,18.38,Norte,477.88,Medio,3,Tuesday
2024-03-20,D,42,90.75,Oeste,3811.5,Muy Alto,3,Wednesday
2024-03-21,C,13,91.04,Este,1183.52,Muy Alto,3,Thursday
2024-03-22,D,32,66.98,Norte,2143.36,Muy Alto,3,Friday
2024-03-23,A,39,40.51,Oeste,1579.8899999999999,Muy Alto,3,Saturday
2024-03-24,D,49,41.43,Este,2030.07,Muy Alto,3,Sunday
2024-03-25,C,32,75.34,Oeste,2410.88,Muy Alto,3,Monday
2024-03-26,C,4,90.74,Sur,362.96,Medio,3,Tuesday
2024-03-27,B,30,89.84,Norte,2695.2000000000003,Muy Alto,3,Wednesday
2024-03-28,A,37,80.19,Sur,2967.0299999999997,Muy Alto,3,Thursday
2024-03-29,D,23,67.78,Este,1558.94,Muy Alto,3,Friday
2024-03-30,B,39,17.57,Sur,685.23,Alto,3,Saturday
2024-03-31,D,45,24.55,Sur,1104.75,Muy Alto,3,Sunday
2024-04-01,D,15,90.87,Este,1363.0500000000002,Muy Alto,4,Monday
2024-04-02,B,43,64.58,Oeste,2776.94,Muy Alto,4,Tuesday
2024-04-03,B,29,10.83,Sur,314.07,Medio,4,Wednesday
2024-04-04,B,36,19.13,Oeste,688.68,Alto,4,Thursday
2024-04-05,B,13,69.72,Sur,906.36,Alto,4,Friday
2024-04-06,B,32,10.46,Oeste,334.72,Medio,4,Saturday
2024-04-07,D,7,24.47,Este,171.29,Medio,4,Sunday
2024-04-08,B,22,59.39,Sur,1306.58,Muy Alto,4,Monday
2024-04-09,A,28,72.27,Este,2023.56,Muy Alto,4,Tuesday
